"respnum";"probit";"logit";"agree";"probinside";"howmany";"pm_outhit_logit";"pm_outhit_probit";"type_observed";"probit_max";"logit_max"
"87";0;0.001;TRUE;0.928571428571429;5;0.574;0.5325;"Mix";"Info rich";"Info rich"
"88";0;0.18;TRUE;0.285714285714286;5;0.514;0.5305;"Mix";"Info rich";"Info rich"
"89";0.003;0.041;TRUE;1;3;0.4375;0.432;"In";"Info rich";"Info rich"
"90";0.941;0.873;TRUE;0.928571428571429;2;0.303;0.353;"Mix";"Info poor";"Info poor"
"91";0.213;0.288;TRUE;0.642857142857143;5;0.4055;0.446;"Mix";"Info rich";"Info rich"
"92";0.507;0.441;FALSE;1;4;0.3055;0.3365;"In";"Info poor";"Info rich"
"93";0.025;0.005;TRUE;1;3;0.101;0.084;"In";"Info rich";"Info rich"
"94";0.147;0.099;TRUE;1;4;0.507;0.492;"In";"Info rich";"Info rich"
"95";0;0;TRUE;1;4;0.498;0.4835;"In";"Info rich";"Info rich"
"96";0.975;0.927;TRUE;1;3;0.218;0.2375;"In";"Info poor";"Info poor"
"97";0.818;0.811;TRUE;1;3;0.24;0.2475;"In";"Info poor";"Info poor"
"98";0;0.012;TRUE;1;4;0.6775;0.602;"In";"Info rich";"Info rich"
"99";0;0;TRUE;1;4;0.9175;0.899;"In";"Info rich";"Info rich"
"100";0;0.007;TRUE;0.928571428571429;5;0.4165;0.382;"Mix";"Info rich";"Info rich"
"101";0;0.011;TRUE;0.714285714285714;5;0.5745;0.557;"Mix";"Info rich";"Info rich"
"102";0.204;0.099;TRUE;1;4;0.682;0.598;"In";"Info rich";"Info rich"
"103";0.07;0.032;TRUE;0.714285714285714;4;0.3945;0.37;"Mix";"Info rich";"Info rich"
"104";0.541;0.977;TRUE;0.571428571428571;3;0.244;0.3565;"Mix";"Info poor";"Info poor"
"105";0.104;0.043;TRUE;1;4;0.5255;0.523;"In";"Info rich";"Info rich"
"106";0;0.068;TRUE;0.5;4;0.6865;0.691;"Mix";"Info rich";"Info rich"
"107";0;0.216;TRUE;0.642857142857143;3;0.3215;0.26;"Mix";"Info rich";"Info rich"
"108";0;0;TRUE;0.714285714285714;4;0.8405;0.7865;"Mix";"Info rich";"Info rich"
"109";0.94;0.978;TRUE;0.642857142857143;4;0.2505;0.2535;"Mix";"Info poor";"Info poor"
"110";0.35;0.397;TRUE;1;4;0.265;0.3325;"In";"Info rich";"Info rich"
"111";0;0.016;TRUE;0.428571428571429;4;0.77;0.7575;"Mix";"Info rich";"Info rich"
"112";0;0;TRUE;0.642857142857143;4;0.735;0.73;"Mix";"Info rich";"Info rich"
"113";0.005;0.049;TRUE;0.857142857142857;5;0.495;0.605;"Mix";"Info rich";"Info rich"
"114";0.893;0.998;TRUE;0.857142857142857;4;0.395;0.405;"Mix";"Info poor";"Info poor"
"115";0.045;0.069;TRUE;1;3;0.194;0.2185;"In";"Info rich";"Info rich"
"116";0;0;TRUE;0.928571428571429;4;0.107;0.1045;"Mix";"Info rich";"Info rich"
"117";0;0;TRUE;1;4;0.2115;0.224;"In";"Info rich";"Info rich"
"118";0;0;TRUE;1;4;0.792;0.814;"In";"Info rich";"Info rich"
"119";0.116;0.051;TRUE;1;4;0.3635;0.3925;"In";"Info rich";"Info rich"
"120";0.045;0.039;TRUE;0.857142857142857;5;0.427;0.3955;"Mix";"Info rich";"Info rich"
"121";0;0.001;TRUE;1;4;0.683;0.604;"In";"Info rich";"Info rich"
"122";0.889;0.899;TRUE;0.5;4;0.3495;0.322;"Mix";"Info poor";"Info poor"
"123";0.911;0.934;TRUE;0.5;4;0.317;0.336;"Mix";"Info poor";"Info poor"
"124";0.012;0.007;TRUE;1;4;0.345;0.3755;"In";"Info rich";"Info rich"
"125";0;0.002;TRUE;0.285714285714286;4;0.7405;0.741;"Mix";"Info rich";"Info rich"
"126";0;0;TRUE;1;4;0.3325;0.353;"In";"Info rich";"Info rich"
"127";0;0.004;TRUE;1;3;0.2105;0.243;"In";"Info rich";"Info rich"
"128";0;0.018;TRUE;0.214285714285714;3;0.949;0.923;"Mix";"Info rich";"Info rich"
"129";0.006;0.075;TRUE;0.857142857142857;4;0.2645;0.2815;"Mix";"Info rich";"Info rich"
"130";0.774;0.921;TRUE;0.785714285714286;5;0.207;0.2535;"Mix";"Info poor";"Info poor"
"131";0.002;0.114;TRUE;1;4;0.5845;0.7595;"In";"Info rich";"Info rich"
"132";0;0.024;TRUE;0.642857142857143;4;0.631;0.601;"Mix";"Info rich";"Info rich"
"133";0.092;0.141;TRUE;1;4;0.175;0.2275;"In";"Info rich";"Info rich"
"134";0;0;TRUE;0;1;0.9675;0.9555;"Out";"Info rich";"Info rich"
"135";0;0.003;TRUE;0.857142857142857;5;0.4435;0.476;"Mix";"Info rich";"Info rich"
"136";0;0.01;TRUE;1;4;0.4735;0.473;"In";"Info rich";"Info rich"
"137";0;0;TRUE;1;4;0.333;0.4025;"In";"Info rich";"Info rich"
"138";0;0.003;TRUE;0.571428571428571;4;0.6255;0.649;"Mix";"Info rich";"Info rich"
"139";0.068;0.023;TRUE;0.928571428571429;5;0.6945;0.602;"Mix";"Info rich";"Info rich"
"140";0;0;TRUE;1;4;0.2725;0.3305;"In";"Info rich";"Info rich"
"141";0;0.007;TRUE;1;4;0.776;0.77;"In";"Info rich";"Info rich"
