"","segMem","outOfSampleHitRates","inSampleHitRates","segLabel"
"260","0.31924","0.53878","0.3940275","Info Rich"
"261","0.09728","0.58272","0.5661125","Info Rich"
"262","0","0.54026","0.6940725","Info Rich"
"263","0.00024","0.95962","0.7679725","Info Rich"
"264","0.01792","0.41778","0.50244","Info Rich"
"265","0.00032","0.16094","0.6568875","Info Rich"
"266","8e-05","0.89076","0.6914375","Info Rich"
"267","0.0064","0.38912","0.5453225","Info Rich"
"268","1","0.20974","0.1925325","Info Poor"
"269","2e-04","0.59456","0.629365","Info Rich"
"270","4e-05","0.4983","0.68134","Info Rich"
"271","0.99612","0.17138","0.18968","Info Poor"
"272","0.54896","0.27406","0.2811125","Info Poor"
"273","0.00804","0.57944","0.5800375","Info Rich"
"274","0.04344","0.681","0.5209675","Info Rich"
"275","0.00024","0.7791","0.598315","Info Rich"
"276","0.72216","0.17216","0.2460425","Info Poor"
"277","4e-05","0.41264","0.6435775","Info Rich"
"278","0","0.86238","0.7053875","Info Rich"
"279","0.00708","0.71486","0.5280175","Info Rich"
"280","0.00024","0.38822","0.5629475","Info Rich"
"281","0.00052","0.96892","0.7058575","Info Rich"
"282","4e-05","0.65406","0.7069575","Info Rich"
"283","4e-05","0.29478","0.64439","Info Rich"
"284","0.97284","0.23348","0.2073275","Info Poor"
"285","0.00076","0.48902","0.8498525","Info Rich"
"286","0.00288","0.68064","0.69488","Info Rich"
"287","4e-05","0.81588","0.6688375","Info Rich"
"288","0.00012","0.83796","0.662315","Info Rich"
"289","0.86208","0.24192","0.23761","Info Poor"
"290","0.048","0.3146","0.5349425","Info Rich"
"291","4e-05","0.6804","0.7001725","Info Rich"
"292","0.989","0.20934","0.195865","Info Poor"
"293","0.1206","0.57968","0.3858625","Info Rich"
"294","0.00024","0.64366","0.6620275","Info Rich"
"295","0.00056","0.31708","0.6067425","Info Rich"
"296","0.015","0.40786","0.5063825","Info Rich"
"297","0.60848","0.19282","0.3068325","Info Poor"
"298","0.00116","0.20412","0.5309325","Info Rich"
"299","0","0.41686","0.637705","Info Rich"
